Date,District,PM2.5,PM10,NO2,SO2
10-08-16,Kolkata,30.5,55.97,25.72,3.31
11-08-16,Kolkata,20,30.67,22.25,2
12-08-16,Kolkata,28,36.66,21.44,3.31
13-08-16,Kolkata,30,57.78,26.52,4.4
14-08-16,Kolkata,34,55.77,28.66,4.47
15-08-16,Kolkata,32,62.58,27.23,4.4
16-08-16,Kolkata,44,82.42,34.69,5.28
17-08-16,Kolkata,26,51.04,25.39,3.4
18-08-16,Kolkata,25,42.94,26.13,3.12
19-08-16,Kolkata,19,27.8,20.99,2.65
20-08-16,Kolkata,28,59.9,27.48,4.01
21-08-16,Kolkata,38,78.25,31.84,5.1
22-08-16,Kolkata,52,90.75,33.07,4.73
23-08-16,Kolkata,20,47.58,22.06,2.74
24-08-16,Kolkata,25,42.37,25.31,2.86
25-08-16,Kolkata,29,62.52,30.35,3.69
26-08-16,Kolkata,36,75.38,32.15,3.79
27-08-16,Kolkata,30,67.57,28.92,4.04
28-08-16,Kolkata,26,48.54,25.44,3.89
29-08-16,Kolkata,31,56.27,27.17,4.29
30-08-16,Kolkata,28,47.67,24.17,3.24
31-08-16,Kolkata,31,51.8,26.59,3.74
01-09-16,Kolkata,38,52.61,29.42,4.49
02-09-16,Kolkata,20,38.2,24.43,3.04
03-09-16,Kolkata,29.5,50.85,27.24,3.28
04-09-16,Kolkata,22,51.1,24.12,2.56
05-09-16,Kolkata,29,62.5,32,3.92
06-09-16,Kolkata,24,40.11,23.09,2.37
07-09-16,Kolkata,19,32.64,23.77,2.37
08-09-16,Kolkata,32,52.65,25.2,3.11
09-09-16,Kolkata,29,51.94,26.61,3.33
10-09-16,Kolkata,35,60.35,27.41,3.91
11-09-16,Kolkata,39,58.66,29.82,4.32
12-09-16,Kolkata,28,57.44,26.15,3.84
13-09-16,Kolkata,30,50.33,24.03,3.3
14-09-16,Kolkata,35,49.36,27.03,3.98
15-09-16,Kolkata,38.5,58.21,29.61,4.36
16-09-16,Kolkata,32,46.58,25.75,3.67
17-09-16,Kolkata,38,45.05,24.83,3.75
18-09-16,Kolkata,31,49.76,25.05,3.49
19-09-16,Kolkata,28,55.07,23.01,2.98
20-09-16,Kolkata,23,36.58,21.84,2.79
21-09-16,Kolkata,31.5,56.59,24.33,3.16
22-09-16,Kolkata,28,49.46,22.12,3.31
23-09-16,Kolkata,34,38.82,23.33,2.92
24-09-16,Kolkata,37,45.73,25.82,3.51
25-09-16,Kolkata,32,45.33,26.59,3.34
26-09-16,Kolkata,25,37.27,23.04,2.7
27-09-16,Kolkata,23,34.9,24.83,2.93
28-09-16,Kolkata,27,48.29,28.79,3.88
29-09-16,Kolkata,39,62.31,30.6,3.87
30-09-16,Kolkata,36,63.2,29.36,3.56
01-10-16,Kolkata,34,39.99,25.78,3.22
02-10-16,Kolkata,31,41.98,23.73,3.22
03-10-16,Kolkata,42,62.13,29.15,4.9
04-10-16,Kolkata,25,32.94,24.38,2.44
05-10-16,Kolkata,39,65.21,32.32,4.19
06-10-16,Kolkata,41.5,69.57,30.37,4.01
07-10-16,Kolkata,47,72.57,34.86,3.34
08-10-16,Kolkata,40,82.33,38.9,4.74
09-10-16,Kolkata,71,136.5,60.54,7.83
10-10-16,Kolkata,55,120.75,59.83,10.63
11-10-16,Kolkata,68,132.17,62.17,11.21
12-10-16,Kolkata,47.5,77.25,52.92,10.19
13-10-16,Kolkata,69,106.08,65.21,8.92
14-10-16,Kolkata,49,95.29,45.79,5.02
